,city,location,restaurant_name,res_speed,res_service,res_flavour
91,ankara,çankaya,big belly,9.4,9.1,9.2
92,ankara,çukurambar,devrez,9.4,9.3,9.2
93,ankara,çankaya,tandır but,9.3,9.1,9.1
94,ankara,emek,my bear burger,9.6,9.7,9.4
95,ankara,çankaya,bahçeli tost evi,9.5,9.4,9.1
96,ankara,çankaya,the juicy lucy burger,9.5,9.6,9.5
97,ankara,yenimahalle,pizza time,9.4,9.4,9.3
98,ankara,yenimahalle,black & yellow pizza,9.3,9.4,9.1
99,ankara,çankaya,enjoy waffle,9.2,9.3,9.1
100,ankara,g.o.p,meriç ev yemeği & güveç & pide,9.6,9.4,9.2
101,ankara,yenimahalle,olta balık pişirme evi,9.5,9.3,9.2
102,ankara,yenimahalle,tost 312,9.3,9.3,9.1
103,ankara,hoşdere caddesi,subway,9.2,9.2,9.2
104,ankara,çankaya,garaj 55 cafe & burger,9.2,9.4,9.1
105,ankara,yıldız,özlem döner,9.1,9.1,9.1
106,ankara,sincan,komagene etsiz çiğ köfte,9.4,9.2,9.2
107,ankara,kavaklıdere,mutfak 7,9.7,9.4,9.2
108,ankara,etimesgut,as pide & kebap,9.4,9.4,9.1
109,ankara,mamak,komagene etsiz çiğ köfte,9.4,9.3,9.2
110,ankara,sincan,ziyafet çiğ köfte,9.7,9.7,9.6
111,ankara,bilkent 1,mezzaluna,9.2,9.3,9.3
112,ankara,gazi mah.,that's burger,9.7,9.5,9.3
113,ankara,mamak,bir kuzu kokoreç,9.7,9.6,9.4
114,ankara,100. yıl,kavas usta'nın yeri ulusoy kebap,9.4,9.3,9.2
115,ankara,polatlı,çorba dünyası,9.9,9.8,9.9
116,ankara,etimesgut,food. homemade burger,9.9,9.8,9.1
117,ankara,bilkent 1,lokal'71,9.3,9.4,9.3
118,ankara,gölbaşı,adıyaman çiğ köftecisi bayram usta,9.5,9.3,9.1
119,ankara,çiğdem mah.,meşhur adıyaman çiğ köftecisi ömer aybak,9.4,9.3,9.2
120,ankara,çankaya,tadıtam çiğ köfte,9.6,9.5,9.3
121,ankara,çankaya,zahter meze & ev yemekleri,10.0,10.0,10.0
122,ankara,bahçelievler,bolulu hasan usta,9.3,9.4,9.2
123,ankara,çankaya,aldo's pizza,9.4,9.4,9.1
124,ankara,etimesgut,alsancak i̇şkembecisi köfte & kokoreç,9.6,9.5,9.4
125,ankara,tunalı,pizza i̇l forno,9.2,9.2,9.1
126,ankara,keçiören,ham ham pasta & cafe,9.4,9.3,9.2
127,ankara,çankaya,balıkçı o. d. t. ü,9.4,9.2,9.1
128,ankara,aşağı ayrancı,meşhur adıyaman çiğ köftecisi ömer aybak,9.1,9.1,9.1
129,ankara,çankaya,burgerdinho,9.8,9.5,9.4
130,ankara,yıldız,taze sandwiches & salads,9.5,9.5,9.4
131,ankara,çankaya,kocatepe kahve evi,9.7,9.5,9.5
132,ankara,turan güneş bulv.,kıtırım,9.4,9.4,9.3
133,ankara,gölbaşı,halil usta pide & kebap & köfte,9.6,9.7,9.8
134,ankara,çayyolu,franco burger,9.2,9.3,9.2
135,ankara,yenimahalle,tezpişen sütlü tatlılar,9.4,9.6,9.5
136,ankara,bilkent 3,mammaliga,9.7,9.7,9.5
137,ankara,yıldız,arden şef gurme ev yemekleri,9.2,9.3,9.2
138,ankara,etimesgut,cowboy's burger,9.1,9.2,9.2
139,ankara,etimesgut,pürsu elite,10.0,10.0,9.8
140,ankara,mamak,lacivert su,9.7,9.7,9.7
141,ankara,bilkent 1,kardüzü su,9.9,9.8,9.7
142,ankara,etimesgut,bi dünya sandviç,9.3,9.2,9.1
143,ankara,çankaya,komagene etsiz çiğ köfte,9.5,9.4,9.3
144,ankara,çankaya,katre,9.5,9.6,9.4
145,ankara,sincan,efe murat pide & kebap,9.3,9.2,9.1
146,ankara,çankaya,çatı açık büfe,9.5,9.8,9.5
147,ankara,etimesgut,ca & st cajun & steak & burgerss,9.3,9.1,9.1
148,ankara,çankaya,hacı sokakta,9.1,9.3,9.6
149,ankara,keçiören,öz umut mersin tantuni,10.0,9.9,9.9
150,ankara,çankaya,osito burger,9.7,9.6,9.1
151,ankara,etimesgut,esta burger,9.6,9.5,9.4
152,ankara,kavaklıdere,guangzhou wuyang,9.2,9.2,9.1
153,ankara,çankaya,number'ger,9.1,9.1,9.1
154,ankara,yenimahalle,tostbaa cafe,9.2,9.2,9.1
155,ankara,çankaya,adalı mutfak,9.4,9.4,9.1
156,ankara,çankaya,komagene etsiz çiğ köfte,9.4,9.5,9.3
157,ankara,konutkent,ekti's chill & dine,9.5,9.4,9.3
158,ankara,etlik,komagene etsiz çiğ köfte,9.1,9.1,9.2
159,ankara,etimesgut,asma fırın kebap & lahmacun & pizza,9.3,9.4,9.1
160,ankara,çankaya,meşhur adıyaman çiğ köftecisi ömer aybak,9.3,9.2,9.1
161,ankara,mamak,komagene etsiz çiğ köfte,9.1,9.1,9.2
162,ankara,çayyolu,hamdibey karadeniz pidesi,9.3,9.3,9.1
163,ankara,turan güneş bulv.,1kaşar tost,9.4,9.4,9.3
164,ankara,yenimahalle,çilek pasta & cafe & bistro,9.2,9.3,9.1
165,ankara,keçiören,dolunay,9.3,9.3,9.2
166,ankara,aşağı ayrancı,menendi pasta & cafe & bistro,9.5,9.4,9.2
167,ankara,mamak,prof. tatlı & dondurma,9.4,9.5,9.3
168,ankara,sincan,saka su,9.3,9.4,9.4
169,ankara,keçiören,lia cafe,9.6,9.4,9.8
170,ankara,altındağ,meşhur adıyaman çiğ köftecisi ömer aybak,9.5,9.4,9.1
171,ankara,çankaya,hüdaverdi pasta & bistro,9.2,9.3,9.1
172,ankara,ümitköy,meşhur yıldızeller köftecisi,9.2,9.3,9.2
173,ankara,başkent univ.,subway,9.2,9.1,9.2
