,city,location,restaurant_name,menu,price
27703,ankara,keçiören,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Orta) (4'lü Paket),"11,00 TL"
27704,ankara,keçiören,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Küçük) (6'lı Paket),"12,00 TL"
27705,ankara,keçiören,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Küçük) (6'lı Paket),"11,00 TL"
27706,ankara,keçiören,komagene etsiz çiğ köfte,Tavuklu Pilav (300 gr.),"12,50 TL"
27707,ankara,keçiören,komagene etsiz çiğ köfte,Tavuklu Pilav (500 gr.),"18,50 TL"
27708,ankara,keçiören,komagene etsiz çiğ köfte,Ekstralar,"1,50 TL"
27709,ankara,keçiören,komagene etsiz çiğ köfte,Burger Sos (30 gr.),"1,50 TL"
27710,ankara,keçiören,komagene etsiz çiğ köfte,Paket Nar Ekşisi (15 gr.),"1,00 TL"
27711,ankara,keçiören,komagene etsiz çiğ köfte,Lavaş (2 Adet),"1,50 TL"
27712,ankara,keçiören,komagene etsiz çiğ köfte,Ekstra Limon (1 Adet),"2,00 TL"
27713,ankara,keçiören,komagene etsiz çiğ köfte,Yeşillik (Büyük),"5,00 TL"
27714,ankara,keçiören,komagene etsiz çiğ köfte,Yeşillik (Küçük),"4,00 TL"
27715,ankara,keçiören,komagene etsiz çiğ köfte,Bardakta Turşu,"2,50 TL"
27716,ankara,keçiören,komagene etsiz çiğ köfte,İrmik Helvası (120 gr.),"5,00 TL"
27717,ankara,keçiören,komagene etsiz çiğ köfte,İrmik Helvası (250 gr.),"9,50 TL"
